127.0.0.1 - - [09/Jul/2023:21:58:11 +0900] "GET / HTTP/1.1" 500 2095
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /main.do HTTP/1.1" 200 7490
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /resources/static/js/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /resources/js/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /resources/css/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /resources/static/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /resources/static/css/heroes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /resources/static/css/features.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /resources/static/css/headers.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:35 +0900] "GET /resources/static/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:36 +0900] "GET /resources/static/js/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:36 +0900] "GET /resources/static/img/completed_tasks.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:36 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:38 +0900] "GET /member/loginForm.do HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:38 +0900] "GET /resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:38 +0900] "GET /docs/5.2/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:38 +0900] "GET /resources/static/css/modals.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:42 +0900] "POST /member/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:42 +0900] "GET /board/listArticles.do HTTP/1.1" 200 11815
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:42 +0900] "GET /resources/css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:42 +0900] "GET /resources/static/js/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:42 +0900] "GET /resources/static/css/list-groups.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:21:59:42 +0900] "GET /resources/static/css/todolist2.css HTTP/1.1" 304 -
